Järla Orientering,7294
Tullinge SK,5342
Snättringe SK,4666
Järfälla OK,4516
Skogsluffarnas OK,3830
OK Ravinen,3461
Sundbybergs IK,3422
IFK Lidingö SOK,2835
Tumba-Mälarhöjden OK,2719
OK Södertörn,2534
Söders-Tyresö,2511
Waxholms OK,2232
OK Älvsjö-Örby,1968
Skarpnäcks OL,1955
Väsby OK,1867
Attunda OK,1822
Täby OK,1573
OK Österåker,1547
Mälarö SOK,1530
Haninge SOK,1363
IFK Enskede,1095
Bromma-Vällingby SOK,645
Hellas Orientering,593
Kista SportsClub KFUM,554
Nynäshamns OK,295
Solna OK,291
Gustavsbergs OK,171
